InternetGatewayDevice.DeviceInfo.AccessType                                                                                NULL                                     NULL                      Gpon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion                                                                 NULL                                     NULL                      2010.03                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
InternetGatewayDevice.DeviceInfo.Description                                                                               NULL                                     NULL                      "EchoLife HG8245H GPON Terminal (CLASS B+/PRODUCT ID:2102310QXF7SH2001137)"                                                                                                                                                                                                                                                                                                                                                                                                                                                        
InternetGatewayDevice.DeviceInfo.DeviceLog                                                                                 NULL                                     NULL                      "2024-02-17 10:50:03 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,ManagementServer:,PeriodicInformInterval:1992024-02-17 10:46:31 [Notice] Terminal:ACS(10.101.60.21),Result:Success,Type:Set,ManagementServer:,PeriodicInformInterval:2001970-01-01 00:00:29 [Notice] Terminal:OLT(-),Result:Success,Type:Set,ManagementServer:,URL:...,Username:...,Password:-1970-01-01 00:00:16 [Alert] AlarmID:500506,AlarmLevel:Alert,Battery cannot be detected1970-01-01 00:00:16 [Notice] AlarmID:104001,AlarmLevel:Er..." 
InternetGatewayDevice.DeviceInfo.DeviceType                                                                                NULL                                     NULL                      "COMMON 4+2 AP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
InternetGatewayDevice.DeviceInfo.HardwareVersion                                                                           NULL                                     NULL                      494.B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
InternetGatewayDevice.DeviceInfo.ManufactureInfo                                                                           NULL                                     NULL                      2102310QXF7SH2001137.C402                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
InternetGatewayDevice.DeviceInfo.Manufacturer                                                                              NULL                                     NULL                      "Huawei Technologies Co., Ltd"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
InternetGatewayDevice.DeviceInfo.ManufacturerOUI                                                                           NULL                                     NULL                      00259E                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
InternetGatewayDevice.DeviceInfo.ModelName                                                                                 NULL                                     NULL                      HG8245H                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
InternetGatewayDevice.DeviceInfo.ProductClass                                                                              NULL                                     NULL                      HG8245H                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
InternetGatewayDevice.DeviceInfo.ProvisioningCode                                                                          NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DeviceInfo.SerialNumber                                                                              NULL                                     NULL                      48575443C5F1F58C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
InternetGatewayDevice.DeviceInfo.SoftwareVersion                                                                           NULL                                     NULL                      V3R013C00S106                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
InternetGatewayDevice.DeviceInfo.SpecVersion                                                                               NULL                                     NULL                      1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
InternetGatewayDevice.DeviceInfo.UpTime                                                                                    NULL                                     NULL                      472                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.AlarmNumber                                                                    NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.AlarmNumberOfEntries                                                           NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_Alarm.Enable                                                                         NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_CpuUsed                                                                              NULL                                     NULL                      5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_CurTime                                                                              NULL                                     NULL                      "2024-02-17 10:53:23 DST 0"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
InternetGatewayDevice.DeviceInfo.X_HW_IPProtocolVersion.Mode                                                               NULL                                     NULL                      3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_Loid                                                                                 NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DeviceInfo.X_HW_MemUsed                                                                              NULL                                     NULL                      54                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DeviceInfo.X_HW_Monitor.Enable                                                                       NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_Monitor.MonitorNumberOfEntries                                                       NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo.BANDAccess                                                         NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo.IPTVAccess                                                         NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo.VOIPAccess                                                         NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DeviceInfo.X_HW_Syslog.Enable                                                                        NULL                                     NULL                      1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_Syslog.Level                                                                         NULL                                     NULL                      7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceInfo.X_HW_UpPortMode                                                                           NULL                                     NULL                      1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DeviceSummary                                                                                        NULL                                     NULL                      "InternetGatewayDevice:1.1[](Baseline:1,     EthernetLAN:1, USBLAN:1, WiFiLAN:1, ADSLWAN:1, Time:1, IPPing:1, ATMLoopback:1,     DSLDiagnostics:1 DeviceAssociation:1)"                                                                                                                                                                                                                                                                                                                                                            
InternetGatewayDevice.DownloadDiagnostics.BOMTime                                                                          NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DownloadDiagnostics.DSCP                                                                             NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DownloadDiagnostics.DiagnosticsState                                                                 NULL                                     NULL                      None                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
InternetGatewayDevice.DownloadDiagnostics.DownloadURL                                                                      NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DownloadDiagnostics.EOMTime                                                                          NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DownloadDiagnostics.EthernetPriority                                                                 NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DownloadDiagnostics.Interface                                                                        NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DownloadDiagnostics.ROMTime                                                                          NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DownloadDiagnostics.TCPOpenRequestTime                                                               NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DownloadDiagnostics.TCPOpenResponseTime                                                              NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.DownloadDiagnostics.TestBytesReceived                                                                NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.DownloadDiagnostics.TotalBytesReceived                                                               NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime                                                                NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.DSCP                                                                               NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.DataBlockSize                                                                      NULL                                     NULL                      56                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState                                                                   NULL                                     NULL                      None                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
InternetGatewayDevice.IPPingDiagnostics.FailureCount                                                                       NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.Host                                                                               NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.IPPingDiagnostics.Interface                                                                          NULL                                     NULL                      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime                                                                NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime                                                                NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions                                                                NULL                                     NULL                      4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.SuccessCount                                                                       NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.IPPingDiagnostics.Timeout                                                                            NULL                                     NULL                      10000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries                                                                NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.DuplexMode                                                  NULL                                     NULL                      Auto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Enable                                                      NULL                                     NULL                      1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddress                                                  NULL                                     NULL                      A4:C6:4F:C5:F1:F5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddressControlEnabled                                    NULL                                     NULL                      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MaxBitRate                                                  NULL                                     NULL                      Auto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Name                                                        NULL                                     NULL                      eth0:1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
