Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"00259E-HG8245H-48575443C5F1F58C",xsd:string,2024-03-17T06:42:51.606Z,,,,
DeviceID.Manufacturer,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Huawei Technologies Co., Ltd",xsd:string,2024-03-17T06:42:51.606Z,,,,
DeviceID.OUI,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"00259E",xsd:string,2024-03-17T06:42:51.606Z,,,,
DeviceID.ProductClass,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"HG8245H",xsd:string,2024-03-17T06:42:51.606Z,,,,
DeviceID.SerialNumber,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"48575443C5F1F58C",xsd:string,2024-03-17T06:42:51.606Z,,,,
Events.0_BOOTSTRAP,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2024-03-17T06:42:51.606Z",xsd:dateTime,2024-03-17T06:42:51.606Z,,,,
Events.1_BOOT,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2024-03-17T06:42:51.606Z",xsd:dateTime,2024-03-17T06:42:51.606Z,,,,
Events.Inform,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2024-03-17T06:42:51.606Z",xsd:dateTime,2024-03-17T06:42:51.606Z,,,,
Events.Registered,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2024-03-17T06:42:51.606Z",xsd:dateTime,2024-03-17T06:42:51.606Z,,,,
InternetGatewayDevice,true,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AccessType,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"Gpon",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"2010.03",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"EchoLife HG8245H GPON Terminal (CLASS B+/PRODUCT ID:2102310QXF7SH2001137)",xsd:string,2024-03-17T06:42:51.610Z,,,,
